attempt,attacker_uid,sub_case,decision,reason,kernel_errno,latency_ms,outcome
103,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
104,1001,blind,DENY,binding_mismatch,0,0.007,blocked
105,1001,leaked,ALLOW,allow,0,0.007,passed
106,1001,blind,DENY,binding_mismatch,0,0.007,blocked
107,1001,leaked,ALLOW,allow,0,0.007,passed
108,1001,leaked,ALLOW,allow,0,0.007,passed
109,1001,leaked,ALLOW,allow,0,0.007,passed
110,1001,leaked,ALLOW,allow,0,0.007,passed
111,1001,blind,DENY,binding_mismatch,0,0.007,blocked
112,1001,blind,DENY,binding_mismatch,0,0.007,blocked
113,1001,leaked,ALLOW,allow,0,0.007,passed
114,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
115,1001,blind,DENY,binding_mismatch,0,0.007,blocked
116,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
117,1001,leaked,ALLOW,allow,0,0.007,passed
118,1001,blind,DENY,binding_mismatch,0,0.007,blocked
119,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
120,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
121,1001,blind,DENY,binding_mismatch,0,0.007,blocked
122,1001,leaked,ALLOW,allow,0,0.007,passed
123,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
124,1001,leaked,ALLOW,allow,0,0.007,passed
125,1001,leaked,ALLOW,allow,0,0.007,passed
126,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
127,1001,blind,DENY,binding_mismatch,0,0.007,blocked
128,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
129,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
130,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
131,1001,blind,DENY,binding_mismatch,0,0.007,blocked
132,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
133,1001,leaked,ALLOW,allow,0,0.007,passed
134,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
135,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
136,1001,blind,DENY,binding_mismatch,0,0.007,blocked
137,1001,leaked,ALLOW,allow,0,0.007,passed
138,1001,leaked,ALLOW,allow,0,0.007,passed
