sample_index,bare_rtt_ms,full_rtt_ms,lookup_overhead_ms
543,0.008208,0.006958,-0.00125
544,0.008583,0.006834,-0.001749
545,0.008208,0.006792,-0.001416
546,0.008167,0.006833,-0.001334
547,0.00825,0.006708,-0.001542
548,0.008167,0.007042,-0.001125
549,0.008792,0.006834,-0.001958
550,0.010167,0.006792,-0.003375
551,0.0085,0.006792,-0.001708
552,0.008333,0.006709,-0.001624
553,0.008625,0.006875,-0.00175
554,0.008333,0.00675,-0.001583
555,0.008292,0.006792,-0.0015
556,0.008833,0.006833,-0.002
557,0.008416,0.006875,-0.001541
558,0.008708,0.00675,-0.001958
559,0.008709,0.006875,-0.001834
560,0.008292,0.006875,-0.001417
561,0.019083,0.006792,-0.012291
562,0.008708,0.00675,-0.001958
563,0.008667,0.006833,-0.001834
564,0.008292,0.007042,-0.00125
565,0.021208,0.006791,-0.014417
566,0.0095,0.00675,-0.00275
567,0.008334,0.006833,-0.001501
568,0.0085,0.006875,-0.001625
569,0.015333,0.00675,-0.008583
570,0.009166,0.006791,-0.002375
571,0.008291,0.006791,-0.0015
572,0.008291,0.006875,-0.001416
573,0.008625,0.006792,-0.001833
574,0.008333,0.006875,-0.001458
575,0.00825,0.006791,-0.001459
576,0.00875,0.006791,-0.001959
577,0.008334,0.006791,-0.001543
578,0.008167,0.006666,-0.001501
579,0.00825,0.006833,-0.001417
580,0.00825,0.007,-0.00125
581,0.0085,0.006833,-0.001667
582,0.008375,0.00675,-0.001625
583,0.008208,0.006791,-0.001417
584,0.00825,0.00675,-0.0015
585,0.008292,0.006792,-0.0015
586,0.008334,0.006834,-0.0015
587,0.008125,0.00675,-0.001375
588,0.00825,0.00675,-0.0015
589,0.008084,0.00675,-0.001334
590,0.008292,0.00675,-0.001542
591,0.00825,0.006792,-0.001458
592,0.008208,0.00675,-0.001458
593,0.008291,0.006791,-0.0015
594,0.00825,0.00675,-0.0015
595,0.008208,0.006792,-0.001416
596,0.008208,0.006958,-0.00125
597,0.008584,0.006791,-0.001793
598,0.008208,0.006708,-0.0015
599,0.00825,0.006709,-0.001541
600,0.00825,0.006709,-0.001541
601,0.008292,0.00675,-0.001542
602,0.008208,0.006792,-0.001416
603,0.008166,0.012459,0.004293
604,0.008333,0.007583,-0.00075
605,0.014334,0.006792,-0.007542
606,0.009625,0.006833,-0.002792
607,0.00825,0.006792,-0.001458
608,0.008292,0.006791,-0.001501
609,0.008375,0.006875,-0.0015
610,0.008333,0.006834,-0.001499
611,0.008667,0.006875,-0.001792
612,0.008417,0.007167,-0.00125
613,0.008709,0.00675,-0.001959
614,0.008125,0.006833,-0.001292
615,0.00875,0.006708,-0.002042
616,0.00825,0.00675,-0.0015
617,0.008167,0.006834,-0.001333
618,0.008792,0.006834,-0.001958
619,0.008334,0.006875,-0.001459
620,0.008583,0.00675,-0.001833
621,0.008125,0.006791,-0.001334
622,0.014667,0.00775,-0.006917
623,0.008458,0.006833,-0.001625
624,0.008208,0.00675,-0.001458
625,0.007959,0.006792,-0.001167
626,0.007917,0.00675,-0.001167
627,0.007875,0.006875,-0.001
628,0.008042,0.007166,-0.000876
629,0.008708,0.006833,-0.001875
630,0.016708,0.006875,-0.009833
631,0.0085,0.00675,-0.00175
632,0.008125,0.006833,-0.001292
633,0.008167,0.006875,-0.001292
634,0.007959,0.006875,-0.001084
635,0.008417,0.006875,-0.001542
636,0.007917,0.006834,-0.001083
637,0.008208,0.007,-0.001208
638,0.00825,0.006875,-0.001375
639,0.008083,0.006916,-0.001167
640,0.007916,0.006875,-0.001041
641,0.007916,0.00675,-0.001166
642,0.010958,0.00675,-0.004208
643,0.008375,0.00675,-0.001625
644,0.008375,0.006959,-0.001416
645,0.00825,0.006792,-0.001458
646,0.007958,0.006708,-0.00125
647,0.007958,0.006875,-0.001083
648,0.009083,0.007,-0.002083
649,0.008083,0.006792,-0.001291
